,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
2692,鶴町湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2693,天水湯,3,5,対象：男女,-,-,75,18,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ok,ng
2694,ゆぽぽ大運橋温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2695,壷中の天 宿○文,1,0,対象：男女,92,25,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
2696,(株)播磨湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2697,たちばな温泉,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2698,癒しの里名張の湯,1,7,対象：男女,90,19,80,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2699,久宝寺新温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2700,新美濃温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2701,くつろぎの郷 湯楽,8,5,対象：男女,84,17,80,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2702,いりふね温泉,1,13,対象：男女,96,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
2703,きりつぼ温泉,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2704,大峰温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2705,日之出温泉,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2706,扇湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2707,源気温泉八尾おゆば,5,16,対象：男女,90,17,90,-,ng,ng,ng,ok,ok,ng,ok,ok,ng,ok,ok,ng
2708,みどり温泉,4,2,対象：男女,80,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
2709,天然温泉 はり温泉らんど,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2710,松竹温泉,0,2,男性専用,90,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
2711,朝日温泉,0,1,対象：男女,94,17,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2712,(有)おーごん湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
