,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
4288,川越市 なぐわし公園PiKOA,4,3,対象：男女,89,20,93,17.5,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
4290,竹の湯,3,1,対象：男女,80,18,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4291,氷見温泉郷 総湯,3,2,対象：男女,86.5,16.6,88,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
4292,健康ハウス木野温泉,4,24,対象：男女,80,18,80,17,ng,ok,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
4293,稲武温泉 どんぐりの湯,11,21,対象：男女,90,16,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4294,池田温泉,1,3,対象：男女,66,21,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4295,ゆうゆうプラザ 四季の湯,2,5,対象：男女,85,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4296,JRイン帯広,0,3,対象：男女,90,23,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4299,えい中央温泉センター,0,1,対象：男女,86,19.5,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4301,道の駅 きつれがわ,0,2,対象：男女,96,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4302,湯の川温泉,1,1,対象：男女,80,22,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
4303,コパンスポーツクラブ,0,2,対象：男女,86,16,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4305,石岡健康センター,1,2,対象：男女,94,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4306,報徳湯,2,1,対象：男女,96,24,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4307,昭和湯,7,61,対象：男女,80,16,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
4308,ホテルココ・グラン高崎,4,4,対象：男女,90,15,?,?,ng,ok,ng,ok,ok,ng,-,-,-,-,-,-
4309,奥の湯,2,4,対象：男女,75,15,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4313,ANAクラウンプラザホテル大阪,0,3,対象：男女,94,20,90,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ng
4316,ビジネス上田インター松笠,0,1,対象：男女,78,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4317,三菱養和会 巣鴨スポーツセンター,0,20,対象：男女,90,23,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4322,くっちゃん温泉 ホテルようてい,1,2,対象：男女,90,15.5,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4323,伊達温泉,0,2,対象：男女,86,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
4324,蘇傳寺温泉,2,7,対象：男女,85,20,80,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
4325,虎杖浜温泉ホテル ぬくもりの湯,1,4,対象：男女,90,14,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
4329,昭和湯,0,2,対象：男女,90,20,?,?,ng,ng,ng,ng,ng,ok,-,-,-,-,-,-
4330,平山温泉 アジアンテイストの日帰り温泉「華の番台」,0,2,対象：男女,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4332,南海薬草館,0,0,対象：男女,102,15,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4336,永吉温泉,0,1,対象：男女,53,19,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4337,神戸ベイシェラトン ホテル&タワーズ/神戸六甲温泉 濱泉,5,20,対象：男女,84,20,85,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
4339,松原温泉,0,1,対象：男女,45,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4340,萬石湯,0,1,対象：男女,92,17,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
4341,ドンバンサウナ,0,1,男性専用,91,22,?,?,ng,ng,ok,ng,ng,ng,-,-,-,-,-,-
4342,松屋別館,0,2,対象：男女,90,17.5,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4343,新舞子ガーデンホテル,1,2,対象：男女,90,22,80,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
4344,八風温泉,5,5,対象：男女,85,23,86,15,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
4345,三星温泉,0,1,対象：男女,100,17,100,17,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
4347,冠荘,0,1,対象：男女,87,9,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4348,フィットネスクラブ ティップネス 東新宿,1,1,対象：男女,82,19,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4349,ヘルシーバス花園,0,2,対象：男女,97,15,97,15,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
4351,末広湯,0,1,対象：男女,50,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4353,カプセルホテル ファミー,0,3,男性専用,92,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4354,城山長寿泉,0,1,対象：男女,92,20,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4356,島原温泉ゆとろぎの湯,1,1,対象：男女,88,15.6,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4357,錦水湯,0,1,対象：男女,58,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4362,レストイン 時之栖,2,13,対象：男女,98,14,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4363,長命舘,0,1,対象：男女,85,18,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
4367,リザンシーパークホテル谷茶ベイ,1,2,対象：男女,85,19,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4368,ホテル マイユクール 祥月,1,2,対象：男女,79,20,90,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
4370,鶴亀温泉,1,10,対象：男女,85,16,90,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
4371,タカラ湯,28,14,女性専用,64,28,64,28,ng,ng,ok,ng,ng,ok,ng,ng,ng,ng,ng,ok
4374,つなぎ温泉 清温荘,1,0,対象：男女,90,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
