サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
栗原温泉,1,3,対象：男女,94,-,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,ng
関空温泉ホテルガーデンパレス,0,1,対象：-,92,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,ng
極楽寺山温泉 アルカディア・ビレッジ,0,2,対象：男女,?,?,80,17,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
浜の雅亭一井,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル賀茂川荘,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
リゾートヒルズ豊浜 Resort Hills Toyohama～ 蒼空の風～,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
グランドサウナ広島,30,59,男性専用,90,20,74,24,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ANAクラウンプラザホテル広島,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
東急スポーツオアシス広島|ジム・ホットヨガ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
安芸の湯ドーミーイン広島,1,4,対象：男女,90,25,-,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ng,ng
ホテル28広島,0,1,対象：男女,90,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
音戸温泉,17,24,対象：男女,84,18,84,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
小瀬川温泉 お食事処「うどんの里」,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
江戸風呂,13,5,対象：男女,-,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,ng
松阪わんわんパラダイス 森のホテルスメール,0,1,対象：男女,75,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
【閉店】牛滝温泉 いよやかの郷,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
半べえ温泉,6,24,対象：男女,90,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
伊勢志摩ロイヤルホテル,0,1,対象：-,?,?,80,-,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
天然温泉さがの海田,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
大学湯,2,2,対象：男女,-,18,-,-,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
楊貴館,0,1,対象：男女,90,19,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
樽井温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
宇品天然温泉 ほの湯,6,20,対象：男女,80,17.5,82,17.1,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
海辺のホテルはな,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
間々下温泉,5,10,対象：男女,90,19,90,-,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
塩屋天然温泉ほの湯楽々園,14,84,対象：男女,85,17,80,17.2,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
湯免ふれあいセンター,1,3,男性専用,90,18,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
萩阿武川温泉 ふれあい会館,1,1,男性専用,86,21.1,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
福寿荘,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル志摩スペイン村 ひまわりの湯,1,3,対象：-,90,18,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
下市温泉秋津荘 明水館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ホテル大広苑,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
金剛の湯 リバーサイドホテル,0,0,対象：男女,90,22,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
み奈美亭,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
さぬきの湯ドーミーイン高松,3,9,対象：男女,94,18,94,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
阿曽温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
あわじ浜離宮,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
湯盛温泉 ホテル杉の湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
淡路島観光ホテル AWAJISIMA KANKOU HOTEL,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
山村別館,0,1,対象：-,90,-,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
海のホテル 島花,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
湯本観光ホテル西京,0,2,男性専用,90,19,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
淡路インターナショナルホテルザ・サンプラザ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
大谷山荘 Otanisanso,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
